2010 Population,% Foreign Born,Median Household Income,Below Poverty Level,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Retail Sales per Capita,Land Area (Square Miles),Population per Square Mile,% Person under 5 years,% Persons under 18 years,% Persons 65 and older,% Female Persons,% White,% Black African,% Asian,% Hispanic,"('Votes', ' No Preference')","('Votes', ' Uncommitted')","('Votes', 'Ben Carson')","('Votes', 'Bernie Sanders')","('Votes', 'Carly Fiorina')","('Votes', 'Chris Christie')","('Votes', 'Donald Trump')","('Votes', 'Hillary Clinton')","('Votes', 'Jeb Bush')","('Votes', 'John Kasich')","('Votes', 'Marco Rubio')","('Votes', ""Martin O'Malley"")","('Votes', 'Mike Huckabee')","('Votes', 'Rand Paul')","('Votes', 'Rick Santorum')","('Votes', 'Ted Cruz')"
92709,2.1,42844,17.2,5.5,0.8,0.0,27.6,12783,667.7,138.8,5.2,20.5,18.2,52.1,86.7,10.4,0.9,2.4,0,0,2151,1745,0,0,7502,3676,0,983,3320,0,0,0,0,3265
34339,1.0,38551,17.5,0.0,0.0,1.1,0.0,4889,690.68,49.7,5.3,21.7,16.8,51.3,78.1,11.4,0.2,2.2,0,0,733,428,0,0,3604,2047,0,196,925,0,0,0,0,1204
140247,5.1,43542,22.0,16.2,2.0,0.0,28.2,11099,607.54,230.8,5.8,21.6,10.3,50.7,70.9,23.7,3.3,3.9,0,0,2460,2464,0,0,6934,7137,0,1501,4734,0,0,0,0,4880
82782,4.3,48619,14.7,4.8,0.8,1.3,25.8,9785,559.94,147.8,5.9,23.4,13.8,49.7,82.0,13.5,1.4,5.8,0,0,2061,1120,0,0,8198,3199,0,746,3602,0,0,0,0,4082
11299,0.2,26230,26.7,57.3,0.0,0.0,35.2,8184,715.91,15.8,6.7,23.1,17.4,52.3,25.8,72.9,0.2,1.2,0,0,88,330,0,0,500,3782,0,26,83,0,0,0,0,137
21452,1.1,30724,27.3,66.7,0.0,0.0,0.0,3932,608.89,35.2,4.7,18.3,16.8,54.2,16.7,81.5,0.3,1.5,0,0,94,483,0,0,356,4293,0,39,92,0,0,0,0,147
334811,5.4,58434,12.8,12.3,3.5,1.3,29.2,14145,801.59,417.7,5.8,22.4,13.7,51.2,69.4,24.6,2.6,4.7,0,0,6293,8786,0,0,23791,19995,0,3919,17116,0,0,0,0,13622
21027,0.7,35079,24.0,0.0,0.0,0.0,21.4,9274,976.88,21.5,6.0,23.0,18.6,53.2,47.4,51.0,0.3,2.4,0,0,85,1092,0,0,580,3590,0,26,127,0,0,0,0,228
30776,1.0,32888,20.9,0.0,0.0,0.0,0.0,7116,742.29,41.5,5.4,21.2,20.1,50.4,93.9,4.2,0.3,2.5,0,0,589,256,0,0,3503,567,0,167,921,0,0,0,0,1268
93019,8.0,39526,19.5,0.0,0.9,1.0,24.9,15434,565.84,164.4,6.6,24.5,16.3,50.9,93.7,2.7,0.7,12.9,0,0,1813,821,0,0,9115,1494,0,595,3785,0,0,0,0,2784
412992,3.2,43028,19.8,18.8,2.4,1.2,29.5,12895,1229.44,335.9,6.7,24.0,14.5,52.2,60.1,35.3,2.0,2.8,0,0,4824,5672,0,0,28326,28927,0,2893,11850,0,0,0,0,13458
23068,0.9,29203,28.6,23.6,0.0,0.0,24.5,9342,1025.68,22.5,5.5,23.4,17.9,52.6,55.5,41.1,0.4,1.2,0,0,373,205,0,0,1966,2438,0,108,596,0,0,0,0,658
229363,4.3,44790,21.2,35.6,2.4,1.3,30.9,14351,784.25,292.5,6.8,24.0,13.3,52.6,38.9,56.7,2.6,3.4,0,0,3379,4266,0,0,10517,28650,0,1953,5570,0,0,0,0,4700
119490,5.1,44800,15.7,5.9,1.0,0.0,21.3,14222,579.34,206.3,6.0,23.1,15.9,50.8,83.5,12.5,0.7,7.9,0,0,2790,1345,0,0,10909,3897,0,1109,4488,0,0,0,0,4828
10591,0.5,28209,25.6,55.7,0.0,0.0,41.3,3181,719.66,14.7,5.5,22.4,17.9,53.4,31.1,67.5,0.4,1.3,0,0,15,389,0,0,192,2575,0,2,33,0,0,0,0,123
19746,0.3,28741,27.2,0.0,0.0,0.0,10.0,5805,881.41,22.4,5.2,20.5,17.8,50.6,58.1,40.2,0.3,4.1,0,0,287,453,0,0,1124,2326,0,65,353,0,0,0,0,658
32899,4.0,33090,27.6,0.0,0.0,0.0,0.0,12189,672.09,48.9,5.7,19.4,14.1,51.9,58.5,36.9,2.2,2.2,0,0,698,379,0,0,2493,2183,0,172,798,0,0,0,0,1092
22913,1.7,35213,24.5,7.1,0.0,0.0,0.0,7209,580.55,39.5,5.7,22.0,19.6,51.4,77.6,20.2,0.3,2.9,0,0,426,328,0,0,2352,1236,0,133,584,0,0,0,0,942
