Population % Change,2010 Population,% Foreign Born,Veterans,Mean Travel Time,Median Household Income,Below Poverty Level,Total Number of Firms,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Manufacturers Shipments ($1000),Retail Sales ($1000),Retail Sales per Capita,Building permits,Land Area (Square Miles),Population per Square Mile,No Preference,Uncommitted,Ben Carson,Bernie Sanders,Carly Fiorina,Chris Christie,Donald Trump,Hillary Clinton,Jeb Bush,John Kasich,Marco Rubio,Martin OMalley,Mike Huckabee,Rand Paul,Rick Santorum,Ted Cruz
-1.6,41513,1.9,5725,17.1,35343,15.5,4635,0,0.6,0,22.8,550061,486791,11633,8,554.28,74.9,0,0,452,807,0,0,3798,1391,0,376,1374,0,0,0,0,2480
9.5,221339,10.9,16452,20.1,54515,12.2,18799,0.9,2.3,5.2,23.7,0,2390591,11332,2218,847.36,261.2,0,0,2525,4696,0,0,11828,5650,0,2272,12863,0,0,0,0,11909
0.8,36903,1.3,3280,19.7,38506,16.6,3748,0,0,0,29.3,0,466894,12738,12,590.23,62.5,0,0,478,469,0,0,2577,721,0,267,1213,0,0,0,0,1589
-3.1,11508,6.7,765,20.1,30409,31.3,640,0,0,4.2,0,176955,71522,5978,1,649.23,17.7,0,0,94,106,0,0,770,593,0,45,361,0,0,0,0,393
-3.1,5368,0,391,24.9,30980,14.9,0,0,0,0,0,0,17859,3263,0,628.58,8.5,0,0,11,312,0,0,172,413,0,4,76,0,0,0,0,142
1.1,27446,6.8,2961,19.1,36584,18.8,3078,0,0,0,19.1,0,265358,9728,10,630.09,43.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.3,11800,3.3,905,21.4,26201,33,916,12.2,0,0,25.1,0,67030,5446,6,644.3,18.3,0,0,35,247,0,0,416,1370,0,20,162,0,0,0,0,152
-1.8,22995,2.6,1804,19.9,32721,24.3,1689,0,0,0,26.8,433867,247757,10461,3,866.07,26.6,0,0,144,494,0,0,694,1650,0,102,750,0,0,0,0,907
-6,16083,0.9,1230,22.8,31502,20.2,1109,0,0,0,25.2,111760,132637,8255,3,639.47,25.2,0,0,48,656,0,0,339,960,0,15,136,0,0,0,0,276
-1.3,25970,2,3158,24.9,40246,15.8,3180,0,0,0,27.1,205550,282382,11169,26,553.69,46.9,0,0,339,316,0,0,2530,758,0,210,1392,0,0,0,0,2227
-2.8,8689,0.4,630,27.4,39420,17.7,297,0,0,0,0,0,12265,1404,0,597.78,14.5,0,0,62,137,0,0,503,382,0,32,313,0,0,0,0,550
-2.5,24552,2.9,1508,16.6,35128,25.4,1859,0,0,0,23.1,1164275,197935,8143,49,766.05,32.1,0,0,208,306,0,0,1149,1008,0,103,634,0,0,0,0,943
-0.9,21273,1.9,1534,22.2,35225,24,1876,0,0,0,16.9,432551,270351,13074,10,552.25,38.5,0,0,101,840,0,0,805,1755,0,31,498,0,0,0,0,741
6.3,96443,3.7,6727,17.5,41393,20.6,8387,0,1.2,1.3,0,1830332,1440936,15768,671,707.21,136.4,0,0,851,1862,0,0,3429,3543,0,477,3142,0,0,0,0,4108
-0.4,61948,4.1,5321,22,39479,20.2,4489,0,1.1,1.8,21.5,847991,452539,7666,43,593.09,104.4,0,0,591,874,0,0,3392,1586,0,249,2251,0,0,0,0,3926
-2.7,50902,1.7,3541,20.2,37751,26.3,3399,22.6,3.4,0,25.2,701251,750517,14399,95,609.76,83.5,0,0,165,722,0,0,1359,3379,0,91,543,0,0,0,0,792
-3.6,17870,0.7,1189,23.8,38085,17.4,1589,0,0,0,26.3,0,185706,9970,18,616.38,29,0,0,139,228,0,0,972,780,0,45,395,0,0,0,0,808
-4.4,8116,2.5,444,20.2,28931,19.7,459,9.6,0,0,12.9,184521,79676,9727,1,667.39,12.2,0,0,26,361,0,0,163,693,0,1,90,0,0,0,0,148
-5.7,13008,1.8,754,21.5,28680,30.1,840,0,0,0,27.4,400820,119201,8691,7,768.15,16.9,0,0,16,449,0,0,234,1342,0,5,97,0,0,0,0,75
0.6,18509,1.9,983,20.8,31171,28.5,1460,6.4,0,0,0,156135,198993,10645,4,828.36,22.3,0,0,176,475,0,0,795,1250,0,47,557,0,0,0,0,538
6.7,113237,2.9,8027,24.2,50314,14.6,9464,4.5,0.7,3.6,24.4,1587628,1227650,11730,341,647.88,174.8,0,0,950,2774,0,0,5078,4077,0,595,5426,0,0,0,0,6228
-1.8,18125,0.8,1643,25,36766,20.5,1139,0,0,0,19.6,327694,140227,7748,0,608.86,29.8,0,0,182,294,0,0,1229,667,0,95,601,0,0,0,0,1093
-1,12245,1.1,1358,25.5,35522,18.7,1047,0,0,0,21.9,0,42434,3598,1,618.19,19.8,0,0,111,473,0,0,651,701,0,32,181,0,0,0,0,385
1.4,96024,3.6,10575,21.7,39162,20.7,10369,2,0,2.3,22.8,661675,1443438,14958,43,677.78,141.7,0,0,968,1779,0,0,5538,4057,0,673,4050,0,0,0,0,4081
1.6,17853,1.9,1594,29.9,49004,9.9,1696,0,0,0,25.4,489875,107622,6148,9,631.81,28.3,0,0,125,300,0,0,1010,690,0,59,652,0,0,0,0,1329
